,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
219,flat,sector 99a,1.16,3,3,3,Relatively New,1790.0,0,1,0,0,1,0,LOW,Mid Floor
220,flat,sector 84,1.5,3,3,3,New Property,1849.0,0,1,0,0,0,0,MODERATE,Low Floor
221,flat,sector 43,4.2,3,4,2,Moderately Old,2125.0,0,0,0,0,0,0,LOW,Mid Floor
222,house,sector 43,5.5,1,1,0,Old Property,1935.0,0,0,0,0,1,0,LOW,Low Floor
223,flat,sector 82,0.81,2,2,2,Relatively New,1176.0,0,0,0,0,0,1,MODERATE,High Floor
224,flat,sector 86,1.54,3,3,3+,Relatively New,1780.0,0,1,0,0,0,0,HIGH,High Floor
225,flat,sector 85,1.49,4,5,3+,Relatively New,2017.0,0,1,0,0,0,1,MODERATE,Mid Floor
226,flat,sector 102,1.05,2,2,2,Relatively New,1017.0,0,0,0,0,0,0,LOW,Low Floor
227,flat,sector 86,0.5,2,2,2,Old Property,573.0,0,0,0,0,0,0,LOW,Mid Floor
228,house,sector 38,2.1,2,7,3+,Relatively New,900.0,1,0,1,1,0,0,LOW,Mid Floor
229,flat,sector 37d,1.65,3,3,2,Relatively New,1699.0,0,0,0,0,0,0,MODERATE,High Floor
230,flat,sector 69,1.32,3,3,1,Relatively New,1419.0,0,0,0,1,0,0,MODERATE,High Floor
231,flat,sector 66,1.85,2,3,3,Relatively New,1470.0,0,1,0,0,1,1,MODERATE,High Floor
232,flat,sector 37d,0.55,2,2,3,New Property,610.0,0,0,0,0,0,0,MODERATE,Mid Floor
233,flat,sector 81,2.12,3,3,3+,Relatively New,1650.0,1,1,0,1,1,2,LOW,Mid Floor
234,flat,sector 79,1.3,2,2,2,Relatively New,1330.0,1,0,0,0,0,1,MODERATE,Mid Floor
235,flat,sector 90,0.7,2,3,2,Relatively New,1502.0,1,0,0,0,0,1,LOW,Mid Floor
236,flat,sector 66,1.7,2,2,2,Relatively New,1072.0,0,0,0,0,1,0,MODERATE,Mid Floor
237,flat,sector 2,0.95,2,2,3,Moderately Old,1281.0,0,0,0,0,0,1,MODERATE,Low Floor
238,flat,sector 86,1.45,3,2,3,Relatively New,1480.0,0,0,0,0,0,2,MODERATE,Mid Floor
239,flat,sector 54,6.75,4,4,2,Moderately Old,2076.0,0,1,0,0,0,2,MODERATE,Mid Floor
240,flat,sector 50,3.0,3,3,3+,Old Property,2357.0,0,1,0,0,0,1,MODERATE,High Floor
241,flat,sector 90,1.78,4,4,3+,Relatively New,2000.0,0,0,0,0,0,0,MODERATE,Mid Floor
242,house,sector 2,6.0,4,4,1,Relatively New,3000.0,0,0,0,0,0,0,LOW,Low Floor
243,flat,sector 49,2.51,3,3,3+,Old Property,2061.0,1,0,0,0,0,1,MODERATE,Mid Floor
244,house,sector 110,0.34,2,2,2,Moderately Old,270.0,0,0,0,0,0,0,LOW,Mid Floor
245,flat,sector 81,1.35,3,3,3+,Moderately Old,1438.0,0,0,1,0,0,1,MODERATE,Mid Floor
246,flat,sector 50,2.7,3,3,3+,Moderately Old,2357.0,0,1,0,0,0,0,MODERATE,Mid Floor
247,flat,sector 104,1.85,3,4,3+,Relatively New,2072.0,1,1,1,1,0,0,MODERATE,High Floor
248,flat,sector 65,2.4,3,3,3,Relatively New,1600.0,1,1,0,0,0,1,LOW,Mid Floor
249,flat,sector 86,0.8,2,2,0,Relatively New,1360.0,0,0,0,0,0,0,LOW,Low Floor
250,flat,sector 108,0.7,2,2,2,Moderately Old,1362.0,0,0,0,0,0,0,MODERATE,High Floor
251,flat,sector 86,1.3,3,3,3,Relatively New,1715.0,0,1,0,1,0,1,LOW,High Floor
